_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,did_you_read_the_article,did_you_read_the_article:confidence,is_constructive,is_constructive:confidence,is_toxic_popular_answer_1,is_toxic_popular_answer_2,is_toxic:confidence_answer1,is_toxic:confidence_answer2,your_comments,orig__golden,comment,did_you_read_the_article_gold,globe_url,is_constructive_gold,is_constructive_gold_reason,is_toxic_gold,title,url,your_comments_gold
1190862954,TRUE,golden,22,,1,1,yes,1,1,,1,,"




















",TRUE,"While technology does march on, sometimes it takes a few backwards steps towards true progress. Case in point are the ipads and tablets which I see as little more than toys for the easily distracted. While tablets are today's rage that have led to the nosediving of the laptop, anyone who has used these new devices knows all to well their limitations. Trying to compose an email on a ipad is like communicating in morse code or sending a telegram circa 1913. The same goes for the smartwatch which does not even have GPS, which every cheap digital camera has, big mistake. But what do I know, I'm a geezer and still tell the time by a watch with a face.",,http://www.theglobeandmail.com/opinion/as-technology-marches-inexorably-oninvention-becomes-the-mother-of-necessity/article23462276/,yes,The comment pinpoints some flaws of the smartwatch and limitations of iPads and tablets in general in a civilized way. ,,Apple Watch: It's the precise opposite of a labour-saving device,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/watch.html,
1190862955,TRUE,golden,11,,1,1,yes,1,1,2,0.9111,0.0889,"









",TRUE,"Everyone is still missing the point of what the Apple Watch is:It's fashion. It is by definition of no utility. Watches have been more fashion than function for as long as they've been worn. Anyone remember paying $50 for a Swatch that cost $2 to make?The Apple Watch actually offers quite a bit of utility as far as wrist adornments go, but it is first and foremost something to look good. It was never meant to replace an iPhone so people need to stop evaluating it on that basis.As for rapid, pervasive obsolescence of your latest gadget, it's an unfortunate side-effect of Moore's Law. You don't have to buy the latest and greatest if you don't want to, but a lot of people want to.I will likely end up with an Apple Watch for the following ironic reason:I haven't worn a watch in years because I have had a phone in my pocket that already does the one thing a watch does: tell time. Now, with an Apple Watch, I'll get the convenience of telling the time without having to get a hand free to get my phone out of my pocket and still have a device that gives me access to much of the stuff I turn to my iPhone for already.It really does make sense if you put it in the right perspective.",,http://www.theglobeandmail.com/opinion/as-technology-marches-inexorably-oninvention-becomes-the-mother-of-necessity/article23462276/,yes,The comment provides a point of view on the smartwatch and supports this view with examples.,,Apple Watch: It's the precise opposite of a labour-saving device,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/watch.html,
1190862956,TRUE,golden,14,,1,1,no,1,1,2,0.6308,0.2937,"












",TRUE,You've never used an Apple product have you?,,http://www.theglobeandmail.com/opinion/as-technology-marches-inexorably-oninvention-becomes-the-mother-of-necessity/article23462276/,no,The comment intends to make fun of the author. It does not have much content. ,,Apple Watch: It's the precise opposite of a labour-saving device,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/watch.html,
1190862957,TRUE,golden,15,,1,1,no,1,1,2,0.7346,0.2023,"













",TRUE, You may be using a blackberry. I'm still using a gooseberry.,,http://www.theglobeandmail.com/opinion/as-technology-marches-inexorably-oninvention-becomes-the-mother-of-necessity/article23462276/,no,Intended to be funny — does not have much content. ,,Apple Watch: It's the precise opposite of a labour-saving device,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/watch.html,
1190862958,FALSE,golden,7,3/28/2017 22:35:58,1,1,no,0.5963,2,1,0.4429,0.3066,"





",TRUE,"Of course we all know, unfortunately, there is a segment of the voting public that worships the ground Harper slithers on. That's who this 'surplus' is aimed at. These numbers have been baked, cooked, fudged, pinched and squeezed to get the result that Dear Leader wanted. Anybody with any working brain cells understands that.",,http://www.theglobeandmail.com/opinion/dont-be-fooled-by-the-surprise-budget-surplus/article26373964/,no,The comment does not contain any evidence to support the claims. It also uses quite negative language.,,Don't be fooled by the (surprise!) budget surplus,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/budget.html,
1190862959,FALSE,golden,8,3/28/2017 22:29:52,1,1,yes,0.8805,1,2,0.5102,0.2344,"






",TRUE,"Simpson claims the budget surplus isn't a surprise to him, yet in early August he wrote that the Conservative claim to a balanced budget had 'fallen apart'. The anti-Conservative partisan Simpson is simply not credible and this article is cartoonish. The Globe should retire old Simpson and replace him with someone more credible.",,http://www.theglobeandmail.com/opinion/dont-be-fooled-by-the-surprise-budget-surplus/article26373964/,no,"The comment mostly attacks the article's author, although it does contain some evidence (that the author wrote something different previously).",,Don't be fooled by the (surprise!) budget surplus,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/budget.html,
1190862960,TRUE,golden,18,,1,1,yes,1,1,2,0.8317,0.1155,"This is a topic I have researced and studied intensively















",TRUE,We have multiple generations where aboriginal children were removed from their families and institutionalized.  The youngest of this generation are in their 40's.  We have institutionalized the welfare state on these northern reserves and there is no quick fix solution.   There is now an ingrained distrust of governments and their institutions.  The best solution will be education and again that will take generations before we see the full effect of that effort.,,http://www.theglobeandmail.com/opinion/put-native-women-on-the-agenda/article20144737/,yes,The comment discusses the complexities of the problem and suggests a possible solution for the problem.  ,,Enough is enough: Time to address epidemic of violence against native women,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/aboriginal.html,
1190862961,TRUE,golden,13,,1,1,yes,0.6179,1,2,0.7799,0.1531,"







",TRUE,"A good start to stop Violence against women and children is to address the alcohol and drug addiction on the remote reserves, which drive children to the cities.",,http://www.theglobeandmail.com/opinion/put-native-women-on-the-agenda/article20144737/,yes,The comment offers a solution. ,,Enough is enough: Time to address epidemic of violence against native women,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/aboriginal.html,
1190862962,TRUE,golden,18,,1,1,yes,0.7861,1,2,0.7758,0.2242,"
This does promote further discussion although the cultural structure does not seem a matter that the contributor is knowledged about.















",TRUE,"All of this energy should be directed at the parents of aboriginal women.These young children have no positive role models, the family structure does not exist to help children grow into thriving citizens in society.The state can not fill all of that void.",,http://www.theglobeandmail.com/opinion/put-native-women-on-the-agenda/article20144737/,yes,The comment gives a point of view on the topic in discussion. ,,Enough is enough: Time to address epidemic of violence against native women,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/aboriginal.html,
1190862963,FALSE,golden,4,3/28/2017 22:35:58,1,1,yes,0.5,1,,1,,"This is something that can warrant further discussion


",TRUE,Time for the elders and chiefs to stand up to the plate and take a leadership role! ,1,http://www.theglobeandmail.com/opinion/put-native-women-on-the-agenda/article20144737/,no,The comment merely assigns a blame without explaining what can be done about it.  ,,Enough is enough: Time to address epidemic of violence against native women,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/aboriginal.html,
1190862964,TRUE,golden,11,,1,1,no,0.9138,1,2,0.6365,0.2655,"









",TRUE,Canada has done more than enough. No more!,,http://www.theglobeandmail.com/opinion/europe-may-be-failing-syrian-refugees-but-canada-shouldnt-boast-yet/article29265806/,no,An opinion with no supporting evidence.,,"Europe may be failing Syrian refugees, but Canada shouldn't boast yet",http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/refugees.html,
